Asset-Regular,B
FiraSansCondensed-Bold,B
-0.09369475394487381,-0.4773790240287781
0.08052542805671692,-0.4703434109687805
0.22117173671722412,-0.42817115783691406
0.2868340313434601,-0.3388245701789856
0.29466721415519714,-0.22173726558685303
0.23347659409046173,-0.07533390074968338
0.11141226440668106,0.014129383489489555
-0.11334063112735748,0.011187049560248852
-0.14678296446800232,0.008581608533859253
-0.008877862244844437,0.015412707813084126
0.09594205021858215,0.017305556684732437
0.16873134672641754,0.0500401109457016
0.2642710208892822,0.12554770708084106
0.3299899399280548,0.22726085782051086
0.3377237319946289,0.34862086176872253
0.3009984493255615,0.45201122760772705
0.23212775588035583,0.5113655924797058
0.13955792784690857,0.5365781784057617
0.025295715779066086,0.5445523262023926
-0.10248636454343796,0.5436139106750488
-0.2028104066848755,0.5273630619049072
-0.25540590286254883,0.49006783962249756
-0.2769565284252167,0.42353585362434387
-0.2772686779499054,0.29563048481941223
-0.2679772973060608,0.09330280125141144
-0.26954537630081177,-0.1436527669429779
-0.2768574357032776,-0.3137112557888031
-0.26619407534599304,-0.39076387882232666
-0.23600834608078003,-0.432136207818985
-0.1987331062555313,-0.459330677986145
