Asset-Regular,B
FiraSansCondensed-Bold,B
-0.08209258317947388,-0.46997085213661194
0.10303637385368347,-0.4610902965068817
0.24938178062438965,-0.41533637046813965
0.3172830045223236,-0.3165251910686493
0.31574833393096924,-0.19369655847549438
0.23237967491149902,-0.0373016893863678
0.07954182475805283,0.023807188495993614
-0.1514749974012375,0.012058602645993233
-0.1531870812177658,0.010164346545934677
0.014125495217740536,0.023441482335329056
0.11291061341762543,0.03142710402607918
0.19504445791244507,0.07262049615383148
0.2987617254257202,0.1497548669576645
0.3606591522693634,0.24901841580867767
0.3618292212486267,0.3666553795337677
0.320164293050766,0.46347400546073914
0.2466958612203598,0.5176790952682495
0.14887304604053497,0.5412633419036865
0.028310904279351234,0.5469551086425781
-0.10614560544490814,0.5425118207931519
-0.21145784854888916,0.5194079875946045
-0.26716190576553345,0.4708329737186432
-0.28879231214523315,0.39243581891059875
-0.28658339381217957,0.25480878353118896
-0.2761583626270294,0.049570728093385696
-0.2788202166557312,-0.1733788102865219
-0.2811545431613922,-0.3161904513835907
-0.2615317404270172,-0.38426849246025085
-0.22560319304466248,-0.4250231683254242
-0.1850791722536087,-0.4518607258796692
