GFSDidot-Regular,P
AlegreyaSans-MediumItalic,P
-0.4358689785003662,-0.5662342309951782
0.09431108832359314,-0.5640119314193726
0.2207127958536148,-0.5375148057937622
0.29636865854263306,-0.491350919008255
0.353281706571579,-0.4249041974544525
0.389828622341156,-0.33630385994911194
0.3956719636917114,-0.22665758430957794
0.3750259578227997,-0.11289617419242859
0.33388206362724304,-0.025860611349344254
0.2684737741947174,0.032797981053590775
0.1770288199186325,0.0692213773727417
0.06331615895032883,0.0831456407904625
-0.0727490484714508,0.08355662226676941
-0.18832862377166748,0.0792631059885025
-0.23800121247768402,0.08789552003145218
-0.2376134991645813,0.20592081546783447
-0.23660524189472198,0.4614337980747223
-0.24121057987213135,0.5799551010131836
-0.38167786598205566,0.6097558736801147
-0.4275694489479065,0.6250625848770142
-0.2764710485935211,0.5823359489440918
-0.09061591327190399,0.609646201133728
-0.015539118088781834,0.6243635416030884
-0.14786843955516815,0.6011859178543091
-0.23127257823944092,0.5831578969955444
-0.23649650812149048,0.419806569814682
-0.2417978048324585,-0.1907983124256134
-0.23767665028572083,-0.5177823305130005
-0.2867199182510376,-0.5543296337127686
-0.3990401029586792,-0.5752202868461609
