Eczar-Regular,O
LobsterTwo-Italic,O
-0.034611549228429794,-0.6173139810562134
0.19255727529525757,-0.6425352692604065
0.25023597478866577,-0.6313812732696533
0.32877594232559204,-0.5952199697494507
0.3952590525150299,-0.5410161018371582
0.451407253742218,-0.46726879477500916
0.49254482984542847,-0.36355671286582947
0.5089913010597229,-0.22769346833229065
0.5026366710662842,-0.08949070423841476
0.4790476858615875,0.05326390266418457
0.441005676984787,0.18909002840518951
0.38559991121292114,0.31511548161506653
0.3098717927932739,0.431799978017807
0.21168576180934906,0.5238633751869202
0.09558700025081635,0.5766701698303223
-0.014017008244991302,0.5981426239013672
-0.10121210664510727,0.5886435508728027
-0.1723625659942627,0.5496448278427124
-0.22989368438720703,0.48436784744262695
-0.2727898061275482,0.39070814847946167
-0.2974047064781189,0.26059919595718384
-0.29775750637054443,0.12263011187314987
-0.27708497643470764,-0.0025837623979896307
-0.24236078560352325,-0.12524306774139404
-0.1918662041425705,-0.2515215575695038
-0.12540797889232635,-0.3655994236469269
-0.05527700111269951,-0.45470163226127625
0.004978060722351074,-0.5177817940711975
0.051944609731435776,-0.5584495067596436
0.08939697593450546,-0.5832270383834839
