Eczar-Regular,O
LobsterTwo-Italic,O
0.04183747246861458,-0.5697653293609619
0.1298779547214508,-0.5804797410964966
0.18682652711868286,-0.5705050826072693
0.26642337441444397,-0.5430762767791748
0.33462953567504883,-0.4982002079486847
0.39449936151504517,-0.4321332275867462
0.4453330636024475,-0.3368147015571594
0.47786974906921387,-0.21448823809623718
0.4858487546443939,-0.08143256604671478
0.47373685240745544,0.05764446780085564
0.44707128405570984,0.19111067056655884
0.40437087416648865,0.31264930963516235
0.3426993787288666,0.423827201128006
0.26126232743263245,0.5148066282272339
0.15924958884716034,0.5718004107475281
0.04241280257701874,0.6016538739204407
-0.07015100121498108,0.6024141311645508
-0.17243951559066772,0.5673902034759521
-0.2608329951763153,0.49761298298835754
-0.32658806443214417,0.3941039741039276
-0.36641210317611694,0.2526209354400635
-0.3794575035572052,0.10401251912117004
-0.3709467947483063,-0.025715306401252747
-0.3456023931503296,-0.14315550029277802
-0.3020235002040863,-0.2581480145454407
-0.24241997301578522,-0.3605101406574249
-0.1771029233932495,-0.43720772862434387
-0.11727111786603928,-0.4875832796096802
-0.06814631819725037,-0.5181416273117065
-0.028665436431765556,-0.5363795161247253
