Eczar-Regular,O
LobsterTwo-Italic,O
-0.003393622115254402,-0.5058804154396057
0.03505101054906845,-0.5090948939323425
0.10358750075101852,-0.4961145520210266
0.19049136340618134,-0.47335872054100037
0.2617444396018982,-0.43467193841934204
0.3251713812351227,-0.3731732666492462
0.38524293899536133,-0.28012222051620483
0.43346115946769714,-0.1595591902732849
0.45585066080093384,-0.026341576129198074
0.4536793828010559,0.11684077233076096
0.4349921643733978,0.2471476048231125
0.40054401755332947,0.3598552942276001
0.34729576110839844,0.45930662751197815
0.27653899788856506,0.5369601845741272
0.18915344774723053,0.5848975777626038
0.08017127960920334,0.6118040084838867
-0.047503210604190826,0.6152374744415283
-0.17597874999046326,0.5798870325088501
-0.29275646805763245,0.5018469095230103
-0.3782476484775543,0.38422009348869324
-0.42766448855400085,0.23554889857769012
-0.4477662444114685,0.08197341114282608
-0.44316497445106506,-0.05175154656171799
-0.4174083173274994,-0.16622509062290192
-0.37403497099876404,-0.2672165334224701
-0.31953445076942444,-0.3509637117385864
-0.2614419758319855,-0.4112607538700104
-0.2062690407037735,-0.44955459237098694
-0.15916769206523895,-0.47235411405563354
-0.12136376649141312,-0.48591795563697815
