Eczar-Regular,O
LobsterTwo-Italic,O
0.03889039158821106,-0.5527609586715698
0.10695315152406693,-0.5605917572975159
0.1651766449213028,-0.5503398180007935
0.2457820624113083,-0.5250020027160645
0.31444334983825684,-0.48268458247184753
0.3750765025615692,-0.4188034236431122
0.42844629287719727,-0.32535430788993835
0.4656955301761627,-0.20511139929294586
0.4781792163848877,-0.07331480830907822
0.4694249927997589,0.06631259620189667
0.44557490944862366,0.19945000112056732
0.4059241712093353,0.3193879723548889
0.3475172519683838,0.4281989336013794
0.2700248658657074,0.5169497132301331
0.1728208363056183,0.5728899240493774
0.05762083828449249,0.6032279133796692
-0.06032909080386162,0.6062226295471191
-0.17097896337509155,0.5723057985305786
-0.2684310972690582,0.5011458396911621
-0.340747207403183,0.3943520188331604
-0.3843863010406494,0.2500554919242859
-0.4006815254688263,0.09841830283403397
-0.39459818601608276,-0.03333484008908272
-0.36993518471717834,-0.15030822157859802
-0.3265894055366516,-0.2619944214820862
-0.26828306913375854,-0.3596792221069336
-0.20497404038906097,-0.43181562423706055
-0.14658939838409424,-0.47844839096069336
-0.09827307611703873,-0.5064182877540588
-0.0595548115670681,-0.5230658650398254
