Faustina-Italic[wght],L
BalooPaaji2[wght],L
0.28800925612449646,0.5250862240791321
0.2904258966445923,0.5060554146766663
0.29272526502609253,0.4825505316257477
0.2865346074104309,0.5234272480010986
0.2593342959880829,0.5778902173042297
0.21129021048545837,0.598369836807251
0.14667347073554993,0.6058151125907898
0.08169278502464294,0.6071335077285767
0.00649014487862587,0.6072826981544495
-0.07852886617183685,0.6050287485122681
-0.14277079701423645,0.5914133787155151
-0.19204913079738617,0.5879453420639038
-0.24157044291496277,0.6003998517990112
-0.263046532869339,0.612689197063446
-0.20782208442687988,0.5981321334838867
-0.1567573845386505,0.5650704503059387
-0.1536138504743576,0.45092540979385376
-0.13460592925548553,0.21824485063552856
-0.10897084325551987,-0.07745499908924103
-0.0895218700170517,-0.29596376419067383
-0.08343113213777542,-0.37954139709472656
-0.10618072003126144,-0.408329039812088
-0.14457130432128906,-0.42472347617149353
-0.15951474010944366,-0.4298953115940094
-0.14007635414600372,-0.4256129562854767
-0.10224086046218872,-0.4180516302585602
-0.05225725844502449,-0.41674888134002686
-0.00729722436517477,-0.4233453869819641
0.024601493030786514,-0.43306368589401245
0.049403950572013855,-0.4427105188369751
