Ubuntu-Medium,Y
MysteryQuest-Regular,Y
0.2861486077308655,0.6193914413452148
0.2507968246936798,0.32452186942100525
0.31712549924850464,-0.43916913866996765
0.39866405725479126,-0.6403945684432983
0.2610629200935364,-0.6374304294586182
0.3367108106613159,-0.5616546869277954
0.3137105703353882,-0.39141663908958435
0.27625757455825806,-0.1299537867307663
0.2393961399793625,0.04176968336105347
0.20511513948440552,0.11898232251405716
0.1687973588705063,0.15499457716941833
0.12284143269062042,0.16794954240322113
0.051924239844083786,0.1663077473640442
-0.049164604395627975,0.15476910769939423
-0.15679843723773956,0.13488559424877167
-0.2451528161764145,0.11079563200473785
-0.30359476804733276,0.0909770280122757
-0.3364478647708893,0.09034880995750427
-0.35114869475364685,0.12871302664279938
-0.3551478981971741,0.20737259089946747
-0.3554043471813202,0.28392985463142395
-0.3566395938396454,0.30101311206817627
-0.3597843050956726,0.20951998233795166
-0.36405569314956665,-0.04069282487034798
-0.36762088537216187,-0.3446942865848541
-0.37239664793014526,-0.5006974935531616
-0.3961174786090851,-0.5494526624679565
-0.4097825586795807,-0.5637239813804626
-0.38605061173439026,-0.5644338130950928
-0.34358492493629456,-0.566785454750061
