PoiretOne-Regular,D
OdibeeSans-Regular,D
-0.29457753896713257,-0.6533803939819336
-0.05737031623721123,-0.6447129249572754
0.021817998960614204,-0.6282041072845459
0.0862179771065712,-0.5960005521774292
0.14312830567359924,-0.5562853813171387
0.19794796407222748,-0.5083008408546448
0.24969100952148438,-0.44699299335479736
0.29573673009872437,-0.3657952845096588
0.3335115313529968,-0.25772958993911743
0.35887011885643005,-0.13211511075496674
0.3627883195877075,-0.004692028276622295
0.34659460186958313,0.11255574971437454
0.3161698281764984,0.21303220093250275
0.27066123485565186,0.3070375323295593
0.20768192410469055,0.39408400654792786
0.13230377435684204,0.46970507502555847
0.049342378973960876,0.5303018093109131
-0.047848254442214966,0.5720975995063782
-0.14898066222667694,0.5933104753494263
-0.22954559326171875,0.5925875902175903
-0.27804121375083923,0.5859237909317017
-0.2956945598125458,0.582607626914978
-0.3005243241786957,0.5624476671218872
-0.29816335439682007,0.49227145314216614
-0.29745545983314514,0.3201330900192261
-0.29970332980155945,0.014999747276306152
-0.30039265751838684,-0.3144646883010864
-0.29774394631385803,-0.5137516856193542
-0.2931140661239624,-0.5897772908210754
-0.29464566707611084,-0.6216260194778442
