PoiretOne-Regular,D
OdibeeSans-Regular,D
-0.02974606119096279,-0.5349295735359192
0.10350891202688217,-0.5285720825195312
0.19728092849254608,-0.5033588409423828
0.24192193150520325,-0.4544474184513092
0.26614075899124146,-0.37168097496032715
0.2727121412754059,-0.2496676743030548
0.2642360031604767,-0.08455053716897964
0.25563791394233704,0.05090666934847832
0.26167288422584534,0.12638138234615326
0.2645352780818939,0.19822634756565094
0.26339903473854065,0.3182988464832306
0.2516235113143921,0.4658319056034088
0.23276306688785553,0.541765570640564
0.20159490406513214,0.555637001991272
0.14458304643630981,0.5527156591415405
0.06116144731640816,0.552760124206543
-0.03897486999630928,0.5560081005096436
-0.1452370584011078,0.5584728717803955
-0.21634641289710999,0.5569013953208923
-0.24135224521160126,0.567228376865387
-0.24225881695747375,0.5623393654823303
-0.23665152490139008,0.4958447217941284
-0.23628655076026917,0.31621724367141724
-0.23851242661476135,0.006213849410414696
-0.2411329746246338,-0.2973010540008545
-0.23812638223171234,-0.44417279958724976
-0.23499980568885803,-0.4923039674758911
-0.2213394045829773,-0.5153733491897583
-0.1898288130760193,-0.5287272334098816
-0.15850892663002014,-0.5373843908309937
