PoiretOne-Regular,D
OdibeeSans-Regular,D
-0.27068445086479187,-0.6394131183624268
-0.04523197188973427,-0.6351739764213562
0.03455391898751259,-0.6177972555160522
0.09921073913574219,-0.5854274034500122
0.15662787854671478,-0.5446319580078125
0.21039462089538574,-0.49460622668266296
0.2596254348754883,-0.43006575107574463
0.3020886778831482,-0.3433535695075989
0.3346528708934784,-0.22879865765571594
0.35347846150398254,-0.09817392379045486
0.3519461750984192,0.02857396937906742
0.33414503931999207,0.140440434217453
0.3034716546535492,0.23935936391353607
0.2572553753852844,0.33320099115371704
0.1939799189567566,0.4185417592525482
0.11917830258607864,0.49132901430130005
0.035325486212968826,0.544029712677002
-0.06271617114543915,0.5787607431411743
-0.16078782081604004,0.5937931537628174
-0.23548541963100433,0.589947521686554
-0.276359885931015,0.5839699506759644
-0.29007089138031006,0.5803431272506714
-0.29324260354042053,0.5530507564544678
-0.29045742750167847,0.4676571786403656
-0.2908785343170166,0.2690635621547699
-0.292692095041275,-0.05122166872024536
-0.2932853698730469,-0.36030158400535583
-0.28988099098205566,-0.5262325406074524
-0.2864345908164978,-0.5882749557495117
-0.2869851291179657,-0.6147503852844238
