PoiretOne-Regular,D
OdibeeSans-Regular,D
-0.2022741138935089,-0.6012026071548462
-0.005078763701021671,-0.6024025678634644
0.08164234459400177,-0.5819320678710938
0.1471213400363922,-0.5479304790496826
0.20240667462348938,-0.502042293548584
0.24863465130329132,-0.442641019821167
0.2859601676464081,-0.36274465918540955
0.3109637200832367,-0.25036755204200745
0.322725385427475,-0.10853204876184464
0.3224244713783264,0.022602910175919533
0.31312328577041626,0.13047228753566742
0.29614460468292236,0.23057378828525543
0.26571744680404663,0.3318806290626526
0.21779818832874298,0.4257075786590576
0.1546640247106552,0.5003545880317688
0.0793975293636322,0.5441241264343262
-0.007249785121530294,0.5706133842468262
-0.1063724085688591,0.5873355865478516
-0.19404752552509308,0.5866037607192993
-0.24803581833839417,0.5788776874542236
-0.26815691590309143,0.5783355236053467
-0.2731805741786957,0.5641289353370667
-0.27097398042678833,0.5011926293373108
-0.26990625262260437,0.3428710997104645
-0.27129456400871277,0.05651940405368805
-0.2722511291503906,-0.26470866799354553
-0.27102962136268616,-0.4668526351451874
-0.26684245467185974,-0.5446991920471191
-0.26548483967781067,-0.5763415098190308
-0.24910956621170044,-0.5900173187255859
