Ligconsolata-Bold,A
Atma-Regular,A
0.0041460455395281315,-0.42168959975242615
0.06577807664871216,-0.2743355631828308
0.23106686770915985,0.26284560561180115
0.3306148052215576,0.5712301731109619
0.40839114785194397,0.6376928091049194
0.34669047594070435,0.6009012460708618
0.31054192781448364,0.5457596778869629
0.2866864502429962,0.44126251339912415
0.25792160630226135,0.33388012647628784
0.21688486635684967,0.29099929332733154
0.15246222913265228,0.2923031449317932
0.07715404778718948,0.29362624883651733
-0.004778360016644001,0.29230770468711853
-0.08621881157159805,0.28916293382644653
-0.15891440212726593,0.2860737442970276
-0.21429680287837982,0.28819790482521057
-0.24750351905822754,0.31661486625671387
-0.27061158418655396,0.3936963677406311
-0.29331520199775696,0.4976356625556946
-0.3345232307910919,0.589301586151123
-0.3717380464076996,0.621691107749939
-0.35757434368133545,0.6172365546226501
-0.332716166973114,0.588471531867981
-0.3065485954284668,0.4961920976638794
-0.24586811661720276,0.34360823035240173
-0.1629410982131958,0.10959980636835098
-0.07524452358484268,-0.1460457742214203
-0.010598903521895409,-0.28235670924186707
0.021020950749516487,-0.33222293853759766
0.03200635313987732,-0.35627293586730957
