Ligconsolata-Bold,A
Atma-Regular,A
0.03743930533528328,-0.5012034773826599
0.11416500806808472,-0.4474431276321411
0.292187362909317,0.13072004914283752
0.4159905016422272,0.5374941825866699
0.44629526138305664,0.6105844974517822
0.4323999285697937,0.5779508352279663
0.4062471091747284,0.5074829459190369
0.3778318762779236,0.4148918092250824
0.34077900648117065,0.28909626603126526
0.306217223405838,0.21028229594230652
0.25100380182266235,0.19256000220775604
0.16980506479740143,0.1943587064743042
0.07234281301498413,0.1946442872285843
-0.03705049678683281,0.1966814398765564
-0.14356686174869537,0.1972070336341858
-0.22038501501083374,0.19963142275810242
-0.2700735628604889,0.23803499341011047
-0.30738985538482666,0.3166540563106537
-0.33704888820648193,0.40759602189064026
-0.36074399948120117,0.5123608112335205
-0.3921130895614624,0.585259735584259
-0.39701083302497864,0.5938388109207153
-0.3709862232208252,0.5359585285186768
-0.3264733552932739,0.39020833373069763
-0.2417447566986084,0.16630417108535767
-0.13897430896759033,-0.13722629845142365
-0.0548255480825901,-0.3577972948551178
-0.010130714625120163,-0.44948646426200867
0.0063357362523674965,-0.486954927444458
0.00801401399075985,-0.5040870308876038
