Ligconsolata-Bold,A
Atma-Regular,A
0.006794884335249662,-0.4310867488384247
0.07297191768884659,-0.30065080523490906
0.24215354025363922,0.2483104020357132
0.3451043665409088,0.5693220496177673
0.41589951515197754,0.6352128982543945
0.358109712600708,0.5964416265487671
0.3258582651615143,0.5406752228736877
0.30000773072242737,0.4389730989933014
0.2699119448661804,0.32836028933525085
0.22953256964683533,0.278756707906723
0.16490185260772705,0.277708500623703
0.08824241906404495,0.27890023589134216
0.004762244876474142,0.27777084708213806
-0.07977401465177536,0.2752223312854767
-0.15498286485671997,0.27175480127334595
-0.2141973376274109,0.2746424674987793
-0.24994434416294098,0.2994743585586548
-0.2733500599861145,0.3693568706512451
-0.2962443232536316,0.4692744314670563
-0.3320225477218628,0.5705540776252747
-0.3729798495769501,0.6176679730415344
-0.3655453324317932,0.6172275543212891
-0.34035754203796387,0.5878854990005493
-0.314019113779068,0.49459677934646606
-0.2529177665710449,0.3393726944923401
-0.1681388020515442,0.10225112736225128
-0.07845857739448547,-0.1583334356546402
-0.013014049269258976,-0.2990521192550659
0.018903043121099472,-0.3515799045562744
0.029799934476614,-0.37664785981178284
