Rancho-Regular,J
Pridi-SemiBold,J
-0.01307001430541277,-0.4247266352176666
0.32229384779930115,-0.42718306183815
0.16785310208797455,-0.42289790511131287
0.16885966062545776,-0.2551962733268738
0.1712159663438797,0.07010094076395035
0.16847680509090424,0.3601819574832916
0.13978372514247894,0.5301687121391296
0.09645035862922668,0.6013946533203125
0.04736464098095894,0.6319745779037476
-0.01037834957242012,0.648478627204895
-0.08085823059082031,0.6539955139160156
-0.15584634244441986,0.6471654772758484
-0.21649380028247833,0.6281307935714722
-0.2585914433002472,0.6036811470985413
-0.28595948219299316,0.5793122053146362
-0.3037989139556885,0.5570346713066101
-0.3156965970993042,0.5372231006622314
-0.32330912351608276,0.5200971961021423
-0.3276258111000061,0.505761981010437
-0.3295934200286865,0.49392086267471313
-0.3299807906150818,0.4839625358581543
-0.32930970191955566,0.4752512574195862
-0.3279215097427368,0.4672906994819641
-0.3260488510131836,0.4597516655921936
-0.3238619863986969,0.4524458944797516
-0.3214939534664154,0.4452893137931824
-0.31905409693717957,0.4382709562778473
-0.31663432717323303,0.43142732977867126
-0.3143111765384674,0.4248215854167938
-0.312145859003067,0.41852691769599915
