Rancho-Regular,J
Pridi-SemiBold,J
-0.06696446985006332,-0.429291695356369
0.35639724135398865,-0.42851707339286804
0.17332865297794342,-0.42139932513237
0.17025305330753326,-0.2590492367744446
0.1742478758096695,0.07310111075639725
0.18040761351585388,0.39772579073905945
0.15581528842449188,0.5951355695724487
0.11162559688091278,0.6774487495422363
0.057084668427705765,0.7100297212600708
-0.0007879043114371598,0.7234798669815063
-0.06593618541955948,0.7251192331314087
-0.13730253279209137,0.7168456315994263
-0.200626939535141,0.6975366473197937
-0.24881406128406525,0.669711709022522
-0.28172141313552856,0.6373898983001709
-0.3033188283443451,0.6035556793212891
-0.317827969789505,0.5702422857284546
-0.32741644978523254,0.5389994382858276
-0.3326937258243561,0.5106096863746643
-0.33432871103286743,0.4849782884120941
-0.33349087834358215,0.4618259370326996
-0.3311101198196411,0.4410301446914673
-0.3277423083782196,0.4226605296134949
-0.3237842321395874,0.4068140983581543
-0.3195693790912628,0.39346209168434143
-0.3153685927391052,0.3824334442615509
-0.3113788068294525,0.373466819524765
-0.30772513151168823,0.3662604093551636
-0.3044707179069519,0.36050713062286377
-0.30163058638572693,0.3559191823005676
