Gelasio-SemiBoldItalic,V
MavenProVFBeta,V
0.505172848701477,-0.529514491558075
0.4550425112247467,-0.4856363534927368
0.41201409697532654,-0.42870211601257324
0.29628986120224,-0.1325700581073761
0.16343598067760468,0.24311688542366028
0.07749374955892563,0.4568205773830414
0.033221758902072906,0.5286130309104919
0.010151805356144905,0.5446386337280273
-0.008625224232673645,0.5437391996383667
-0.02859397791326046,0.5309978127479553
-0.050955820828676224,0.5058087706565857
-0.07499662786722183,0.4673871099948883
-0.09950056672096252,0.4145630896091461
-0.12433641403913498,0.3474184274673462
-0.1505422443151474,0.26899510622024536
-0.17912006378173828,0.18390808999538422
-0.21020939946174622,0.09469267725944519
-0.24329979717731476,0.001435547135770321
-0.27748772501945496,-0.09338152408599854
-0.3111873269081116,-0.18233859539031982
-0.34152525663375854,-0.258543461561203
-0.36553797125816345,-0.3205377161502838
-0.3836471140384674,-0.36959555745124817
-0.39840084314346313,-0.40773770213127136
-0.41077807545661926,-0.43653273582458496
-0.4202072322368622,-0.45595917105674744
-0.42655661702156067,-0.4673520028591156
-0.42953312397003174,-0.47318127751350403
-0.4297007918357849,-0.47578734159469604
-0.4283292591571808,-0.47670885920524597
