Gelasio-SemiBoldItalic,V
MavenProVFBeta,V
0.7177485227584839,-0.5575438737869263
0.4922163784503937,-0.5384888648986816
0.5770618915557861,-0.5157020092010498
0.4840468764305115,-0.3220265209674835
0.3203384280204773,-0.015451564453542233
0.17156966030597687,0.28117477893829346
0.06338682025671005,0.46133187413215637
-0.008808610029518604,0.5444092750549316
-0.05961035564541817,0.572172999382019
-0.0928020030260086,0.5703015327453613
-0.112973652780056,0.5501922369003296
-0.12889166176319122,0.5169029235839844
-0.14513267576694489,0.4698231518268585
-0.1624004989862442,0.40451139211654663
-0.18209286034107208,0.31292492151260376
-0.207203209400177,0.1845373660326004
-0.23957613110542297,0.01469974871724844
-0.2758117616176605,-0.1756889969110489
-0.3107560873031616,-0.34438520669937134
-0.3466086983680725,-0.45414969325065613
-0.3908790349960327,-0.5097814202308655
-0.4363476037979126,-0.535211443901062
-0.4643707871437073,-0.545922577381134
-0.46546417474746704,-0.5452514886856079
-0.43934741616249084,-0.5348599553108215
-0.3839357793331146,-0.5249935388565063
-0.32860496640205383,-0.5231645107269287
-0.2870452105998993,-0.5281696915626526
-0.25275081396102905,-0.5359981656074524
-0.22147312760353088,-0.5441563129425049
