Gelasio-SemiBoldItalic,V
MavenProVFBeta,V
0.5256440043449402,-0.5339712500572205
0.46395573019981384,-0.49224355816841125
0.4307456314563751,-0.44052544236183167
0.31397685408592224,-0.15512433648109436
0.1745220124721527,0.22135788202285767
0.08204676955938339,0.4466184675693512
0.03248237445950508,0.5268976092338562
0.005723622627556324,0.5462844371795654
-0.01508978009223938,0.5466312766075134
-0.035806890577077866,0.5343230366706848
-0.05811574310064316,0.5091039538383484
-0.08150369673967361,0.4705193042755127
-0.10491038858890533,0.41759154200553894
-0.12851116061210632,0.3501846492290497
-0.15363749861717224,0.27080801129341125
-0.18151730298995972,0.18361946940422058
-0.21246080100536346,0.09086475521326065
-0.24597151577472687,-0.0072804708033800125
-0.2808782756328583,-0.10713037103414536
-0.31498926877975464,-0.1996852457523346
-0.3447580635547638,-0.2777653932571411
-0.36775296926498413,-0.3402238190174103
-0.3854823708534241,-0.38845282793045044
-0.40039384365081787,-0.4252150356769562
-0.41261327266693115,-0.45200809836387634
-0.42153728008270264,-0.4691452085971832
-0.42709165811538696,-0.4785211980342865
-0.4290863275527954,-0.4827733635902405
-0.4284535050392151,-0.48421162366867065
-0.42632269859313965,-0.48436447978019714
