Gelasio-SemiBoldItalic,V
MavenProVFBeta,V
0.6047267913818359,-0.5436125993728638
0.4789563715457916,-0.5102248191833496
0.48743921518325806,-0.47211143374443054
0.37289074063301086,-0.22147957980632782
0.21677568554878235,0.14409519731998444
0.1028212159872055,0.4029877483844757
0.03475813940167427,0.5155390501022339
-0.0056985486298799515,0.5499347448348999
-0.03431128337979317,0.5559360980987549
-0.05716509744524956,0.5457277297973633
-0.07826045900583267,0.5213207006454468
-0.09916897118091583,0.4836035966873169
-0.1195424273610115,0.4320474863052368
-0.14002235233783722,0.36536842584609985
-0.16242170333862305,0.2834950089454651
-0.18861991167068481,0.18814264237880707
-0.21959255635738373,0.08019184321165085
-0.2547495663166046,-0.03865952417254448
-0.2915017306804657,-0.15834200382232666
-0.3254627585411072,-0.2648923397064209
-0.35324838757514954,-0.350106418132782
-0.3765169680118561,-0.4123629629611969
-0.3974822759628296,-0.45587247610092163
-0.41459834575653076,-0.4838838577270508
-0.4270491600036621,-0.49968287348747253
-0.4337559640407562,-0.5068232417106628
-0.4339957535266876,-0.5085409283638
-0.42965853214263916,-0.5069997906684875
-0.42111533880233765,-0.5011913776397705
-0.39776673913002014,-0.4917462468147278
