Gelasio-SemiBoldItalic,V
MavenProVFBeta,V
0.6602208018302917,-0.5488630533218384
0.48050498962402344,-0.521306037902832
0.5251851677894592,-0.4919675588607788
0.41767817735671997,-0.2660711705684662
0.25485262274742126,0.08045687526464462
0.12541085481643677,0.3597109913825989
0.04206657409667969,0.4998498558998108
-0.010145297273993492,0.5503418445587158
-0.04618362709879875,0.5628137588500977
-0.0715029314160347,0.5550148487091064
-0.09145080298185349,0.5318870544433594
-0.11047949641942978,0.49553099274635315
-0.12922969460487366,0.44552305340766907
-0.1482873111963272,0.3795245885848999
-0.16950705647468567,0.29488301277160645
-0.19525086879730225,0.1900472193956375
-0.22700878977775574,0.06393441557884216
-0.2635630965232849,-0.07786843925714493
-0.3006422221660614,-0.21747885644435883
-0.333517462015152,-0.335385262966156
-0.36291179060935974,-0.41955897212028503
-0.39219409227371216,-0.47299429774284363
-0.41838324069976807,-0.5031818151473999
-0.43760183453559875,-0.5184849500656128
-0.44584304094314575,-0.5243169665336609
-0.44255703687667847,-0.5230465531349182
-0.4284912943840027,-0.5150002241134644
-0.39268767833709717,-0.5050821304321289
-0.34658676385879517,-0.5008599162101746
-0.31007149815559387,-0.5034787058830261
