Livvic-ThinItalic,A
Charm-Regular,A
0.13564598560333252,-0.5846314430236816
0.1773516833782196,-0.5397704243659973
0.28001728653907776,-0.04354579374194145
0.3822422921657562,0.45431461930274963
0.42551276087760925,0.5926434993743896
0.4105041027069092,0.5626676678657532
0.392307847738266,0.4883222281932831
0.3693088889122009,0.3652447760105133
0.3442581593990326,0.26675575971603394
0.2962448000907898,0.24547125399112701
0.21879823505878448,0.24868576228618622
0.12306108325719833,0.24704548716545105
0.012399451807141304,0.24440361559391022
-0.11158948391675949,0.24482572078704834
-0.22815045714378357,0.24163541197776794
-0.3171555697917938,0.24732819199562073
-0.3794526755809784,0.2947169840335846
-0.42975035309791565,0.38642555475234985
-0.488070547580719,0.4920610785484314
-0.5583546161651611,0.5871267318725586
-0.5978585481643677,0.6265677809715271
-0.5720182657241821,0.6092631816864014
-0.5113218426704407,0.5243006348609924
-0.44302383065223694,0.4090944230556488
-0.33364763855934143,0.23783694207668304
-0.18475696444511414,-0.03777754306793213
-0.040670257061719894,-0.3023850619792938
0.04475067928433418,-0.4431617856025696
0.08308535069227219,-0.5024601817131042
0.09714341908693314,-0.5283305644989014
