Livvic-ThinItalic,A
Charm-Regular,A
0.16606584191322327,-0.544975996017456
0.26288139820098877,-0.5629712343215942
0.2359137088060379,-0.24815583229064941
0.2233622968196869,0.2911415994167328
0.2619980573654175,0.5525635480880737
0.36329302191734314,0.5816344022750854
0.24342402815818787,0.5484329462051392
0.15278638899326324,0.5664176940917969
0.262359082698822,0.4887408912181854
0.24655947089195251,0.31150147318840027
0.22925177216529846,0.1762181520462036
0.18393754959106445,0.14726564288139343
0.09038572013378143,0.15811845660209656
-0.027749735862016678,0.15959060192108154
-0.12547336518764496,0.15430884063243866
-0.18785697221755981,0.1861032396554947
-0.2391231656074524,0.3052755296230316
-0.3051875829696655,0.47519588470458984
-0.3815165162086487,0.5783115029335022
-0.5111095309257507,0.5940789580345154
-0.5198450088500977,0.5895863771438599
-0.3116813898086548,0.5469300746917725
-0.22121107578277588,0.5515553951263428
-0.31785470247268677,0.5297735929489136
-0.2584179639816284,0.3530244827270508
-0.11071071028709412,-0.009562446735799313
0.0302199088037014,-0.3684462904930115
0.08672624826431274,-0.49151167273521423
0.08616223186254501,-0.5224806666374207
0.06889793276786804,-0.532639741897583
