Livvic-ThinItalic,A
Charm-Regular,A
0.1427983194589615,-0.5775135159492493
0.1905824989080429,-0.55208420753479
0.2685278654098511,-0.0644635260105133
0.3548899292945862,0.44971930980682373
0.40047723054885864,0.6011368036270142
0.39364802837371826,0.579951822757721
0.367431640625,0.5087226629257202
0.3547913730144501,0.3898429274559021
0.3307393491268158,0.2735164761543274
0.2917599380016327,0.23495683073997498
0.21904531121253967,0.23871296644210815
0.12527495622634888,0.2387993186712265
0.016566695645451546,0.23639656603336334
-0.10475239902734756,0.23620179295539856
-0.21576370298862457,0.23213960230350494
-0.2980787754058838,0.2415393590927124
-0.3560546040534973,0.3015407621860504
-0.40581396222114563,0.41046661138534546
-0.46650752425193787,0.5293993949890137
-0.5511046648025513,0.614095151424408
-0.592064619064331,0.6331601142883301
-0.5425149202346802,0.6095142364501953
-0.48264533281326294,0.5351281762123108
-0.4109373986721039,0.4134514331817627
-0.29406869411468506,0.22135433554649353
-0.14264419674873352,-0.08254262059926987
-0.007919849827885628,-0.3425009548664093
0.06323248893022537,-0.4651108384132385
0.09193085879087448,-0.5133398175239563
0.09960398077964783,-0.5340792536735535
