Sunflower-Bold,Z
Barlow-Black,Z
0.27958136796951294,0.5279936194419861
-0.2565387785434723,0.526547372341156
-0.22221797704696655,0.3542642295360565
0.03676246106624603,-0.020715059712529182
0.22909419238567352,-0.32466310262680054
0.2573166489601135,-0.4351547062397003
0.2359502613544464,-0.4480416774749756
0.22170884907245636,-0.4525500237941742
0.19590093195438385,-0.45664146542549133
0.15180674195289612,-0.4583338797092438
0.09229841828346252,-0.4587118327617645
0.025411374866962433,-0.4589398205280304
-0.03818369656801224,-0.4594210684299469
-0.09021718800067902,-0.4599526822566986
-0.12884747982025146,-0.46027112007141113
-0.1566532999277115,-0.4603537917137146
-0.17700539529323578,-0.46031948924064636
-0.19241048395633698,-0.460266649723053
-0.20441077649593353,-0.46020814776420593
-0.21395473182201385,-0.4600870907306671
-0.22174657881259918,-0.45988237857818604
-0.22827644646167755,-0.45971405506134033
-0.2335844188928604,-0.45972323417663574
-0.23757070302963257,-0.45991602540016174
-0.24038153886795044,-0.46021220088005066
-0.24227666854858398,-0.4605422616004944
-0.24345962703227997,-0.4608689844608307
-0.24406464397907257,-0.4611741900444031
-0.2441900670528412,-0.46144813299179077
-0.24391615390777588,-0.46168482303619385
