Sunflower-Bold,Z
Barlow-Black,Z
0.2821755111217499,0.5243353247642517
-0.25728365778923035,0.5223208665847778
-0.22263655066490173,0.3467450439929962
0.03933491185307503,-0.02588251605629921
0.23038823902606964,-0.3259170651435852
0.25722020864486694,-0.43485552072525024
0.2357877641916275,-0.4478236734867096
0.22089721262454987,-0.45256417989730835
0.19419945776462555,-0.45670086145401
0.14914700388908386,-0.45838460326194763
0.08875130116939545,-0.4587521255016327
0.02127508819103241,-0.4589671194553375
-0.04241584613919258,-0.4594242572784424
-0.09418176114559174,-0.45991843938827515
-0.13245804607868195,-0.46019718050956726
-0.15997722744941711,-0.4602494537830353
-0.18013280630111694,-0.46019622683525085
-0.19540581107139587,-0.4601323902606964
-0.20731264352798462,-0.46006467938423157
-0.21679037809371948,-0.459934264421463
-0.22454188764095306,-0.459728866815567
-0.23103363811969757,-0.4595770835876465
-0.2362777441740036,-0.4596116840839386
-0.2401909977197647,-0.45982667803764343
-0.24294109642505646,-0.46013927459716797
-0.2447892129421234,-0.4604823589324951
-0.24593380093574524,-0.46082058548927307
-0.24650634825229645,-0.46113646030426025
-0.24660399556159973,-0.46142062544822693
-0.24630627036094666,-0.46166712045669556
