Sunflower-Bold,Z
Barlow-Black,Z
0.27394065260887146,0.535126268863678
-0.25496000051498413,0.5346499681472778
-0.22104161977767944,0.36864209175109863
0.03191506490111351,-0.010608171112835407
0.22636587917804718,-0.3221607804298401
0.257304310798645,-0.4356890916824341
0.2361125499010086,-0.4484735429286957
0.22318458557128906,-0.452538400888443
0.19917605817317963,-0.45653611421585083
0.15701305866241455,-0.4582432508468628
0.0992780402302742,-0.4586395025253296
0.03358210250735283,-0.45889008045196533
-0.029793264344334602,-0.4594153165817261
-0.08234730362892151,-0.46001848578453064
-0.12168493121862411,-0.460414856672287
-0.15006515383720398,-0.4605588912963867
-0.17080745100975037,-0.4605632722377777
-0.18647003173828125,-0.4605332016944885
-0.19864892959594727,-0.46049290895462036
-0.20831778645515442,-0.4603908956050873
-0.21618326008319855,-0.46019116044044495
-0.22277428209781647,-0.4599936306476593
-0.22819335758686066,-0.4599525034427643
-0.2323170006275177,-0.46009907126426697
-0.23524515330791473,-0.46036040782928467
-0.23723089694976807,-0.46066296100616455
-0.23848721385002136,-0.4609653949737549
-0.2391551285982132,-0.46124789118766785
-0.2393353432416916,-0.46150001883506775
-0.2391091287136078,-0.4617154896259308
