Sunflower-Bold,Z
Barlow-Black,Z
0.2768319249153137,0.5315887331962585
-0.25576251745224,0.530654788017273
-0.2216823250055313,0.36156168580055237
0.03428862243890762,-0.015622246079146862
0.22775040566921234,-0.32340914011001587
0.25734299421310425,-0.4354313313961029
0.23605695366859436,-0.448257714509964
0.22247007489204407,-0.45254093408584595
0.19755856692790985,-0.4565861225128174
0.15442734956741333,-0.4582865238189697
0.09580589830875397,-0.4586741030216217
0.029512479901313782,-0.45891404151916504
-0.033977121114730835,-0.45941799879074097
-0.08627317100763321,-0.45998600125312805
-0.1252569556236267,-0.46034353971481323
-0.15334965288639069,-0.46045687794685364
-0.17389723658561707,-0.4604417085647583
-0.1894320696592331,-0.46040019392967224
-0.20152293145656586,-0.4603506922721863
-0.21113057434558868,-0.46023908257484436
-0.218960240483284,-0.4600362777709961
-0.22552306950092316,-0.4598526358604431
-0.23088939487934113,-0.4598364531993866
-0.23494577407836914,-0.4600064158439636
-0.23781591653823853,-0.4602855443954468
-0.23975686728954315,-0.4606020450592041
-0.24097692966461182,-0.46091675758361816
-0.2416137307882309,-0.46121081709861755
-0.24176669120788574,-0.4614740312099457
-0.24151647090911865,-0.4617003798484802
