NewTegomin-Regular,B
ShareTech-Regular,B
-0.14298395812511444,-0.5392004251480103
0.05850404500961304,-0.5372572541236877
0.18226014077663422,-0.49466052651405334
0.23856863379478455,-0.41717618703842163
0.25465473532676697,-0.3069501221179962
0.23044082522392273,-0.17964690923690796
0.1533757746219635,-0.04348856210708618
0.019698699936270714,-0.009807365015149117
-0.08409557491540909,-0.007362530566751957
-0.03255981579422951,-0.009556442499160767
0.07551085203886032,-0.015622246079146862
0.14070916175842285,0.00977061316370964
0.22253337502479553,0.09434009343385696
0.27860021591186523,0.218472421169281
0.28464993834495544,0.361922025680542
0.24979747831821442,0.48080185055732727
0.18657313287258148,0.5470902919769287
0.10064101219177246,0.5770924091339111
-0.005811906885355711,0.5909786224365234
-0.1196303442120552,0.5922894477844238
-0.20216114819049835,0.5823013186454773
-0.2381773442029953,0.5793055295944214
-0.24656179547309875,0.567047119140625
-0.2430976927280426,0.49577897787094116
-0.2373207062482834,0.3246590793132782
-0.23259516060352325,0.049820635467767715
-0.23497125506401062,-0.24747957289218903
-0.23979496955871582,-0.4285455644130707
-0.2385503202676773,-0.4943855106830597
-0.22440584003925323,-0.522748589515686
