FiraSansExtraCondensed-SemiBoldItalic,C
OpenSansHebrew-Bold,C
0.1950361132621765,0.5294830203056335
0.22209367156028748,0.5184168815612793
0.21217508614063263,0.5200730562210083
0.17316563427448273,0.5368326902389526
0.13098730146884918,0.5511500835418701
0.07541505247354507,0.5620079040527344
0.0069208829663693905,0.5655924081802368
-0.06813248246908188,0.5571147203445435
-0.12839145958423615,0.5298596024513245
-0.17060358822345734,0.4829152822494507
-0.20142683386802673,0.41980352997779846
-0.22093565762043,0.339966744184494
-0.2293076366186142,0.23570616543293
-0.22448153793811798,0.12424346059560776
-0.21088768541812897,0.011690627783536911
-0.190077006816864,-0.10571876913309097
-0.1577272117137909,-0.21694356203079224
-0.11451470851898193,-0.30771321058273315
-0.06643931567668915,-0.3763023614883423
-0.02053343690931797,-0.4260854423046112
0.019538814201951027,-0.4611496925354004
0.05656341463327408,-0.48653966188430786
0.09898531436920166,-0.5065604448318481
0.15185546875,-0.521344780921936
0.20731289684772491,-0.5278249382972717
0.2557401657104492,-0.5263597965240479
0.29354825615882874,-0.5203276872634888
0.32088586688041687,-0.5119177103042603
0.3394635319709778,-0.5014304518699646
0.35171639919281006,-0.48781803250312805
