FiraSansExtraCondensed-SemiBoldItalic,C
OpenSansHebrew-Bold,C
0.3744736909866333,0.4756815433502197
0.3916187882423401,0.4493831992149353
0.3910139203071594,0.4431196451187134
0.357038676738739,0.48925456404685974
0.31829506158828735,0.5189056396484375
0.26074162125587463,0.5359638929367065
0.18482178449630737,0.5495216846466064
0.10169710218906403,0.5520495176315308
0.010911365039646626,0.5418771505355835
-0.08851847052574158,0.516948938369751
-0.17274771630764008,0.46172091364860535
-0.2333349734544754,0.37831106781959534
-0.27111515402793884,0.272006094455719
-0.29247403144836426,0.1360158920288086
-0.2984701693058014,-0.004417517222464085
-0.2887303829193115,-0.12431788444519043
-0.2643030285835266,-0.2220258265733719
-0.22725003957748413,-0.30696117877960205
-0.18119938671588898,-0.37825894355773926
-0.13174745440483093,-0.43114301562309265
-0.08443058282136917,-0.4668983221054077
-0.03998512774705887,-0.4908478558063507
0.00802906509488821,-0.5084713697433472
0.06618699431419373,-0.5219699144363403
0.13003258407115936,-0.5294150710105896
0.19107788801193237,-0.5298370122909546
0.24452346563339233,-0.5252999663352966
0.2884339988231659,-0.5180686116218567
0.3225340247154236,-0.5092840790748596
0.34743911027908325,-0.49905139207839966
