FiraSansExtraCondensed-SemiBoldItalic,C
OpenSansHebrew-Bold,C
0.2569113075733185,0.5138402581214905
0.2875020503997803,0.49950799345970154
0.27851518988609314,0.49739694595336914
0.23926644027233124,0.5234352946281433
0.19526392221450806,0.5416593551635742
0.13623464107513428,0.5544337034225464
0.06675805151462555,0.5610663890838623
-0.01157465297728777,0.5564892292022705
-0.09078614413738251,0.5378717184066772
-0.15228205919265747,0.4955136179924011
-0.19696493446826935,0.43195056915283203
-0.22693412005901337,0.35063809156417847
-0.24346111714839935,0.24402186274528503
-0.2469324916601181,0.12237229198217392
-0.23935472965240479,0.0025037997402250767
-0.22222204506397247,-0.11081220954656601
-0.1928969919681549,-0.2145191729068756
-0.15179932117462158,-0.3031783103942871
-0.1040278747677803,-0.37257295846939087
-0.05637672543525696,-0.42313152551651
-0.013374777510762215,-0.4583859145641327
0.026521142572164536,-0.4834320545196533
0.07118027657270432,-0.502945065498352
0.12629558145999908,-0.5178158283233643
0.18512651324272156,-0.5252131223678589
0.2382720410823822,-0.5249225497245789
0.28166383504867554,-0.5199908018112183
0.31469157338142395,-0.5127514004707336
0.3380948305130005,-0.5038143396377563
0.3534773886203766,-0.49249598383903503
