FiraSansExtraCondensed-SemiBoldItalic,C
OpenSansHebrew-Bold,C
0.4156656265258789,0.45539590716362
0.4243578016757965,0.42703893780708313
0.4278862178325653,0.41886448860168457
0.39738354086875916,0.4716077148914337
0.36211270093917847,0.5073930025100708
0.30810463428497314,0.5270276069641113
0.23289620876312256,0.5429683327674866
0.1453104019165039,0.5495969653129578
0.051853444427251816,0.5415151119232178
-0.05537612736225128,0.5210452675819397
-0.15701791644096375,0.4725062847137451
-0.23382826149463654,0.38983064889907837
-0.28337332606315613,0.282152384519577
-0.31155842542648315,0.14705808460712433
-0.3230679929256439,0.0007078944472596049
-0.3171110153198242,-0.12594889104366302
-0.294870525598526,-0.22564636170864105
-0.25960713624954224,-0.30895760655403137
-0.21533122658729553,-0.38002443313598633
-0.1666797548532486,-0.43436098098754883
-0.11870981007814407,-0.47117024660110474
-0.07323598861694336,-0.49517494440078735
-0.025036316365003586,-0.512130856513977
0.03298855200409889,-0.5249735713005066
0.09810507297515869,-0.5324612855911255
0.162367045879364,-0.5333324670791626
0.2206396907567978,-0.5290452837944031
0.27006658911705017,-0.521669864654541
0.309574156999588,-0.512520968914032
0.33945000171661377,-0.502042829990387
