FiraSansExtraCondensed-SemiBoldItalic,C
OpenSansHebrew-Bold,C
0.2798559367656708,0.5077530741691589
0.3094056248664856,0.49087104201316833
0.3017735183238983,0.4879855215549469
0.2631172239780426,0.5179515480995178
0.21943816542625427,0.5378825068473816
0.1595984548330307,0.5513533353805542
0.08879733830690384,0.559313178062439
0.010546596720814705,0.5557328462600708
-0.07348760962486267,0.5398754477500916
-0.14308354258537292,0.5004808306694031
-0.19410179555416107,0.4374462962150574
-0.22870810329914093,0.355671763420105
-0.24853986501693726,0.2489456981420517
-0.25536295771598816,0.12327292561531067
-0.2501611113548279,-0.0004739835567306727
-0.23429016768932343,-0.11369211226701736
-0.20595680177211761,-0.21527975797653198
-0.16561007499694824,-0.3032827377319336
-0.11797738820314407,-0.3730238974094391
-0.06977858394384384,-0.42384615540504456
-0.025815557688474655,-0.4590703248977661
0.01506664976477623,-0.48387032747268677
0.060538485646247864,-0.5030558109283447
0.11642763018608093,-0.5177468061447144
0.17633521556854248,-0.5252352952957153
0.23100562393665314,-0.5251534581184387
0.2762579023838043,-0.5203996300697327
0.31128808856010437,-0.5133243203163147
0.3366115093231201,-0.5046442747116089
0.35351797938346863,-0.49382010102272034
