Sansita-Regular,I
ShipporiMinchoB1-Bold,I
-0.11224555224180222,0.5746734142303467
0.10694825649261475,0.56849205493927
-0.007793890777975321,0.5672515034675598
-0.0025088696274906397,0.38221579790115356
-0.0006184689118526876,0.056187354028224945
-0.0015128056984394789,-0.2556516230106354
-0.0028278063982725143,-0.43251803517341614
-0.0013511955039575696,-0.4993278682231903
0.008460146375000477,-0.5209680199623108
0.026440633460879326,-0.5325797200202942
0.04853972792625427,-0.5412565469741821
0.07026339322328568,-0.547626793384552
0.08895030617713928,-0.5520564317703247
0.10357357561588287,-0.555205225944519
0.11333385109901428,-0.5571562647819519
0.11745630204677582,-0.557447075843811
0.1157093420624733,-0.555920422077179
0.10800641775131226,-0.5527893304824829
0.09309514611959457,-0.548531174659729
0.06856318563222885,-0.5443867444992065
0.0351635105907917,-0.5418740510940552
-0.0002569332718849182,-0.5414230823516846
-0.03045790083706379,-0.5424402356147766
-0.052943065762519836,-0.5441815853118896
-0.06885597854852676,-0.5461772680282593
-0.08019579946994781,-0.5482039451599121
-0.08850522339344025,-0.5501536726951599
-0.09474700689315796,-0.5519599914550781
-0.09951409697532654,-0.5535703897476196
-0.10321450233459473,-0.5549476146697998
