Sansita-Regular,I
ShipporiMinchoB1-Bold,I
-0.029057374224066734,0.5217301845550537
0.009971699677407742,0.5397559404373169
-0.009418659843504429,0.5014179944992065
-0.00940365344285965,0.3319217264652252
-0.009289986453950405,0.09005667269229889
-0.011154286563396454,-0.12743277847766876
-0.013143946416676044,-0.2687123119831085
-0.01450178399682045,-0.3426749110221863
-0.014848091639578342,-0.3769747018814087
-0.013387045823037624,-0.39511868357658386
-0.01038398128002882,-0.4084502160549164
-0.006703222170472145,-0.4196089804172516
-0.0031165045220404863,-0.4284779727458954
2.8177164494991302e-05,-0.4352099299430847
0.0026875557377934456,-0.4402416944503784
0.004889434203505516,-0.4439215660095215
0.006658355239778757,-0.44651171565055847
0.008020891807973385,-0.44825223088264465
0.009005564264953136,-0.44936874508857727
0.009634897112846375,-0.45005708932876587
0.00992092676460743,-0.45047494769096375
0.00986640527844429,-0.4507405757904053
0.009467698633670807,-0.4509352743625641
0.008716310374438763,-0.45110398530960083
0.007596100680530071,-0.451255738735199
0.006074532866477966,-0.4513656198978424
0.004086752887815237,-0.4513827860355377
0.0015138115268200636,-0.45125526189804077
-0.001832205569371581,-0.45097801089286804
-0.006181622389703989,-0.45065852999687195
