Sansita-Regular,I
ShipporiMinchoB1-Bold,I
-0.23599982261657715,0.6046584844589233
0.22513973712921143,0.6064619421958923
-0.006125213112682104,0.6058862209320068
0.00872884877026081,0.3242599070072174
0.010274311527609825,-0.18863354623317719
0.015780044719576836,-0.5234904885292053
0.024198895320296288,-0.6090474128723145
0.04864851012825966,-0.6205142736434937
0.0889088362455368,-0.6261127591133118
0.13298800587654114,-0.630084753036499
0.17149505019187927,-0.63257896900177
0.1994558870792389,-0.6337416172027588
0.213455930352211,-0.6348204016685486
0.2084173858165741,-0.6359551548957825
0.1784219592809677,-0.6334791779518127
0.12336120009422302,-0.6278829574584961
0.05125445872545242,-0.623498797416687
-0.022618615999817848,-0.6219437122344971
-0.08186040073633194,-0.6223345994949341
-0.12154359370470047,-0.6234704256057739
-0.1467144638299942,-0.6247279644012451
-0.16336339712142944,-0.6259216070175171
-0.17509447038173676,-0.6270103454589844
-0.18368948996067047,-0.6279681921005249
-0.190113365650177,-0.6287668347358704
-0.19502487778663635,-0.6294022798538208
-0.198904350399971,-0.6299275755882263
-0.20198872685432434,-0.6304293274879456
-0.20432239770889282,-0.630959153175354
-0.20596082508563995,-0.6315140724182129
