Sansita-Regular,I
ShipporiMinchoB1-Bold,I
-0.012674281373620033,0.4921080768108368
-0.0039919158443808556,0.5262375473976135
-0.010780135169625282,0.466663122177124
-0.011034983210265636,0.29136303067207336
-0.011848087422549725,0.07157002389431
-0.014314107596874237,-0.11250804364681244
-0.016358571127057076,-0.23081013560295105
-0.01752673275768757,-0.2949891686439514
-0.018249627202749252,-0.32702627778053284
-0.018278809264302254,-0.3444432020187378
-0.017731033265590668,-0.35649412870407104
-0.017046291381120682,-0.36610257625579834
-0.016560306772589684,-0.373834490776062
-0.016343938186764717,-0.3801896274089813
-0.01630993001163006,-0.3856319785118103
-0.016356071457266808,-0.390390545129776
-0.016408702358603477,-0.39454108476638794
-0.016416698694229126,-0.39811015129089355
-0.016345815733075142,-0.4011278748512268
-0.016177937388420105,-0.40364697575569153
-0.015909167006611824,-0.4057424068450928
-0.015546683222055435,-0.4075010120868683
-0.015104766003787518,-0.40901121497154236
-0.014601419679820538,-0.41035494208335876
-0.014055727981030941,-0.4116031229496002
-0.013486281968653202,-0.41281479597091675
-0.012910145334899426,-0.4140360951423645
-0.01234267745167017,-0.4153008759021759
-0.011797703802585602,-0.41663092374801636
-0.01128790620714426,-0.4180365204811096
