LifeSavers-ExtraBold,J
Taviraj-ExtraBold,J
-0.2077120840549469,-0.7240848541259766
0.36760765314102173,-0.7218127846717834
0.1748957335948944,-0.7232469916343689
0.1866503357887268,-0.625016987323761
0.18527306616306305,-0.4304904341697693
0.17890124022960663,-0.13772594928741455
0.1790401041507721,0.12682074308395386
0.15961024165153503,0.3259826600551605
0.10650314390659332,0.47465330362319946
0.03922991454601288,0.5636376142501831
-0.030137764289975166,0.6076842546463013
-0.1096198782324791,0.6317107081413269
-0.19554327428340912,0.6365600228309631
-0.26578471064567566,0.6206017732620239
-0.31531596183776855,0.5931663513183594
-0.34851035475730896,0.5622134208679199
-0.37062564492225647,0.5317348837852478
-0.38533273339271545,0.5030587315559387
-0.39450886845588684,0.47737231850624084
-0.39936044812202454,0.4557986259460449
-0.4011710286140442,0.4381157457828522
-0.40109047293663025,0.4232069253921509
-0.39986932277679443,0.4100407660007477
-0.3979227542877197,0.3980077803134918
-0.3954842686653137,0.38682445883750916
-0.39270612597465515,0.3763781785964966
-0.3897036015987396,0.3666211664676666
-0.38656851649284363,0.3575126826763153
-0.3833732008934021,0.34899795055389404
-0.38017359375953674,0.3410162627696991
