OpenSansCondensed-Bold,C
CreteRound-Regular,C
0.39261072874069214,0.4624038338661194
0.40532755851745605,0.4403168261051178
0.3987840712070465,0.4483574628829956
0.36715641617774963,0.5034838318824768
0.3232726454734802,0.5380337238311768
0.25376155972480774,0.5611388683319092
0.16372816264629364,0.5769829750061035
0.05812420696020126,0.578427255153656
-0.06357215344905853,0.5608316659927368
-0.17461685836315155,0.5055286288261414
-0.2609921097755432,0.411175400018692
-0.3173277974128723,0.28926166892051697
-0.34718531370162964,0.14164364337921143
-0.35381922125816345,-0.009079031646251678
-0.3366422653198242,-0.14194656908512115
-0.2973451316356659,-0.2583615183830261
-0.24107849597930908,-0.3572200536727905
-0.17695598304271698,-0.42999961972236633
-0.11416321247816086,-0.4768584370613098
-0.05506027117371559,-0.5053317546844482
0.009093706496059895,-0.5233757495880127
0.08604558557271957,-0.5323309302330017
0.1680505871772766,-0.5277837514877319
0.24346260726451874,-0.5099741816520691
0.30407124757766724,-0.483472615480423
0.3470260500907898,-0.45308592915534973
0.3735014796257019,-0.4221416413784027
0.3870767652988434,-0.3914155662059784
0.39242321252822876,-0.36075904965400696
0.3943459689617157,-0.3276701271533966
