OpenSansCondensed-Bold,C
CreteRound-Regular,C
0.352309912443161,0.4952767789363861
0.3712993264198303,0.4729953110218048
0.3626444637775421,0.4734041690826416
0.3314628005027771,0.5130624175071716
0.2918253242969513,0.5366845726966858
0.230920672416687,0.552234947681427
0.1553296148777008,0.5625889897346497
0.07362291216850281,0.5606763362884521
-0.019931606948375702,0.5458900332450867
-0.11064263433218002,0.5070300102233887
-0.1824992448091507,0.43535178899765015
-0.2340468019247055,0.3357372283935547
-0.2661021649837494,0.20920920372009277
-0.28137731552124023,0.060145214200019836
-0.2780502736568451,-0.07990629971027374
-0.2569301724433899,-0.19639387726783752
-0.2220354676246643,-0.2948720455169678
-0.17750661075115204,-0.37649860978126526
-0.12787261605262756,-0.4366270899772644
-0.07862139493227005,-0.47673696279525757
-0.031156815588474274,-0.502895712852478
0.02124924771487713,-0.5210883021354675
0.08447742462158203,-0.53277987241745
0.15182723104953766,-0.5349507927894592
0.21327030658721924,-0.527001678943634
0.2629627287387848,-0.5119032859802246
0.29912814497947693,-0.4924614727497101
0.3227274715900421,-0.47011879086494446
0.335935115814209,-0.4453636705875397
0.3417513370513916,-0.4177906811237335
