OpenSansCondensed-Bold,C
CreteRound-Regular,C
0.32492774724960327,0.5100449919700623
0.3435579836368561,0.4920223355293274
0.33709511160850525,0.48781830072402954
0.30633917450904846,0.518433690071106
0.26909327507019043,0.5359488725662231
0.2127918004989624,0.5475038290023804
0.14448145031929016,0.5550632476806641
0.07372807711362839,0.5515110492706299
-0.005436247680336237,0.5368037223815918
-0.08461236953735352,0.5038387179374695
-0.14781565964221954,0.4428347945213318
-0.1940302699804306,0.35629338026046753
-0.22423234581947327,0.24728070199489594
-0.24180234968662262,0.10881625860929489
-0.24535338580608368,-0.03639649599790573
-0.23438237607479095,-0.15925665199756622
-0.21127170324325562,-0.2556220293045044
-0.17919832468032837,-0.33574378490448
-0.14031267166137695,-0.4011078476905823
-0.09772735089063644,-0.448850154876709
-0.05581213906407356,-0.48113158345222473
-0.014642804861068726,-0.5032106637954712
0.032033246010541916,-0.5196262001991272
0.0879145935177803,-0.5311062932014465
0.1462496966123581,-0.5352267622947693
0.1986818164587021,-0.5317083597183228
0.2410135120153427,-0.522938072681427
0.27214983105659485,-0.5110093951225281
0.29283908009529114,-0.49662187695503235
0.3050837516784668,-0.4792393743991852
